Sample name,Sample Folder,Sample,condition,mouse
V19L29-043_A1,V19L29-043_A1_G7,RR3_CG7_HRT,ground control,CG7
V19L29-043_C1,V19L29-043_C1_F1,RR3_CF1_HRT,flight,CF1
V19L29-043_D1,V19L29-043_D1_F1,RR3_CF1_HRT,flight,CF1
V19L29-044_A1,V19L29-044_A1_G7,RR3_CG7_HRT,ground control,CG7
V19L29-044_B1,V19L29-044_B1_G7,RR3_CG7_HRT,ground control,CG7
V19L29-045_A1,V19L29-045_A1_G7,RR3_CG7_HRT,ground control,CG7
V19L29-045_B1,V19L29-045_B1_G7,RR3_CG7_HRT,ground control,CG7
V19L29-045_C1,V19L29-045_C1_F1,RR3_CF1_HRT,flight,CF1
V19L29-045_D1,V19L29-045_D1_F1,RR3_CF1_HRT,flight,CF1
V19L29-046_A1,V19L29-046_A1_G7,RR3_CG7_HRT,ground control,CG7
V19L29-046_B1,V19L29-046_B1_G7,RR3_CG7_HRT,ground control,CG7
V19L29-046_C1,V19L29-046_C1_F1,RR3_CF1_HRT,flight,CF1
V19L29-046_D1,V19L29-046_D1_F1,RR3_CF1_HRT,flight,CF1
V19L29-047_A1,V19L29-047_A1_G7,RR3_CG7_HRT,ground control,CG7
V19L29-047_B1,V19L29-047_B1_F1,RR3_CF1_HRT,flight,CF1
V19L29-047_C1,V19L29-047_C1_F1,RR3_CF1_HRT,flight,CF1
V19L29-047_D1,V19L29-047_D1_F1,RR3_CF1_HRT,flight,CF1
V19T26-014_A1,V19T26-014_A1_G8,RR3_CG8_HRT,ground control,CG8
V19T26-014_B1,V19T26-014_B1_G8,RR3_CG8_HRT,ground control,CG8
V19T26-014_C1,V19T26-014_C1_F2,RR3_CF2_HRT,flight,CF2
V19T26-014_D1,V19T26-014_D1_F2,RR3_CF2_HRT,flight,CF2
V19T26-015_A1,V19T26-015_A1_G8,RR3_CG8_HRT,ground control,CG8
V19T26-015_B1,V19T26-015_B1_G8,RR3_CG8_HRT,ground control,CG8
V19T26-015_C1,V19T26-015_C1_F2,RR3_CF2_HRT,flight,CF2
V19T26-015_D1,V19T26-015_D1_F2,RR3_CF2_HRT,flight,CF2
V19T26-016_A1,V19T26-016_A1_G8,RR3_CG8_HRT,ground control,CG8
V19T26-016_B1,V19T26-016_B1_G8,RR3_CG8_HRT,ground control,CG8
V19T26-016_C1,V19T26-016_C1_F2,RR3_CF2_HRT,flight,CF2
V19T26-016_D1,V19T26-016_D1_F2,RR3_CF2_HRT,flight,CF2
V19T26-017_A1,V19T26-017_A1_G9,RR3_CG9_HRT,ground control,CG9
V19T26-017_B1,V19T26-017_B1_G9,RR3_CG9_HRT,ground control,CG9
V19T26-017_C1,V19T26-017_C1_F9,RR3_CF9_HRT,flight,CF9
V19T26-017_D1,V19T26-017_D1_F9,RR3_CF9_HRT,flight,CF9
V19T26-107_A1,V19T26-107_A1_G9,RR3_CG9_HRT,ground control,CG9
V19T26-107_B1,V19T26-107_B1_G9,RR3_CG9_HRT,ground control,CG9
V19T26-107_C1,V19T26-107_C1_F9,RR3_CF9_HRT,flight,CF9
V19T26-107_D1,V19T26-107_D1_F9,RR3_CF9_HRT,flight,CF9
V19T26-108_A1,V19T26-108_A1_G9,RR3_CG9_HRT,ground control,CG9
V19T26-108_B1,V19T26-108_B1_G9,RR3_CG9_HRT,ground control,CG9
V19T26-108_C1,V19T26-108_C1_F9,RR3_CF9_HRT,flight,CF9
V19T26-108_D1,V19T26-108_D1_F9,RR3_CF9_HRT,flight,CF9